nome_medico,endereco,cidade,estado,pais,cep,latitude,longitude,especialidade,planos_aceitos,bairro
Dr(a). Clara Caldeira,"Travessa de Duarte, 82, Vila Tirol",São Paulo,SP,Brasil,37225-402,-23.52818876072995,-46.7552012319136,Clínico Geral,"[""Prata"",""Ouro"",""Diamante""]",Vila Tirol
Dr(a). Anthony da Conceição,"Núcleo Felipe da Conceição, 46, Sagrada Família",São Paulo,SP,Brasil,17883-637,-23.54012919884935,-46.615186663852334,Ortopedia,"[""Ouro"",""Diamante""]",Sagrada Família
Dr(a). Marina Rodrigues,"Viaduto de Novaes, 10, Vila Mangueiras",São Paulo,SP,Brasil,51649917,-23.538234424843136,-46.68719907510137,Dermatologia,"[""Diamante""]",Vila Mangueiras
Dr(a). Hellena Marques,"Viaduto de Silva, 21, Padre Eustáquio",São Paulo,SP,Brasil,31210-615,-23.573028305575995,-46.61662318129726,Cardiologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Padre Eustáquio
Dr(a). Luara Pacheco,"Estrada de Novais, 4, Paraíso",São Paulo,SP,Brasil,12548-182,-23.528027228603406,-46.760855139859444,Cardiologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Paraíso
Dr(a). Igor da Paz,"Condomínio Fernando da Paz, 17, Vila Santo Antônio",São Paulo,SP,Brasil,62205-433,-23.55944685444564,-46.63762907843358,Cardiologia,"[""Ouro"",""Diamante""]",Vila Santo Antônio
Dr(a). Daniel Rodrigues,"Trevo de Aragão, 4, Santa Lúcia",São Paulo,SP,Brasil,70848-190,-23.547009266131422,-46.787150157682525,Pediatria,"[""Diamante""]",Santa Lúcia
Dr(a). Dr. Matheus Vasconcelos,"Vale Aparecida, 39, Pompéia",São Paulo,SP,Brasil,29602767,-23.561137972030036,-46.66811915480161,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Pompéia
Dr(a). Srta. Isabela Siqueira,"Avenida Marques, 88, Cenaculo",São Paulo,SP,Brasil,58771-416,-23.556885387528112,-46.63338017154651,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Cenaculo
Dr(a). Lavínia Fonseca,"Viela Maitê Ramos, 18, Nazare",São Paulo,SP,Brasil,11516663,-23.50567875488798,-46.74001167774901,Dermatologia,"[""Prata"",""Ouro"",""Diamante""]",Nazare
Dr(a). Nina Moraes,"Rua de das Neves, 476, Vila Minaslandia",São Paulo,SP,Brasil,70582-449,-23.53819003509367,-46.75160124226458,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Vila Minaslandia
Dr(a). Henrique Cirino,"Lagoa de Dias, 69, Boa União 1ª Seção",São Paulo,SP,Brasil,20284569,-23.56103474444802,-46.78551596774456,Clínico Geral,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Boa União 1ª Seção
Dr(a). Gabriela Campos,"Conjunto Liz da Cunha, 74, Nova Pampulha",São Paulo,SP,Brasil,63357-520,-23.572458491295574,-46.646328572600424,Clínico Geral,"[""Diamante""]",Nova Pampulha
Dr(a). Maria Sophia da Mata,"Parque Raul Martins, 688, Coqueiros",São Paulo,SP,Brasil,24389-616,-23.525304840546035,-46.68270990706731,Pediatria,"[""Ouro"",""Diamante""]",Coqueiros
Dr(a). Isabela Cunha,"Recanto Albuquerque, 696, Ermelinda",São Paulo,SP,Brasil,76610-340,-23.50841333515338,-46.666441854088596,Cardiologia,"[""Prata"",""Ouro"",""Diamante""]",Ermelinda
Dr(a). Juan da Costa,"Estrada Arthur Gabriel Leão, 22, Vila Da Paz",São Paulo,SP,Brasil,92262369,-23.544972901500348,-46.62847660962567,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Da Paz
Dr(a). Maria Cecília das Neves,"Núcleo Ana Machado, 33, Pindura Saia",São Paulo,SP,Brasil,20092444,-23.520705444957297,-46.6604192750375,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Pindura Saia
Dr(a). Juan Viana,"Morro Ribeiro, 53, Jardim Dos Comerciarios",São Paulo,SP,Brasil,31104-388,-23.558596474320463,-46.65061973194034,Cardiologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Jardim Dos Comerciarios
Dr(a). Lunna Azevedo,"Fazenda Pastor, 605, Varzea Da Palma",São Paulo,SP,Brasil,58185398,-23.54227885749093,-46.77210638589356,Cardiologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Varzea Da Palma
Dr(a). Sra. Maria Isis Cavalcante,"Colônia Alexandre Rezende, 61, Vila União",São Paulo,SP,Brasil,77789979,-23.596221851718106,-46.761381495221556,Dermatologia,"[""Prata"",""Ouro"",""Diamante""]",Vila União
Dr(a). Luigi Albuquerque,"Praça de Pereira, 45, Capitão Eduardo",São Paulo,SP,Brasil,39188-090,-23.52668328332491,-46.63338423323084,Pediatria,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Capitão Eduardo
Dr(a). Nicole Nunes,"Residencial Mendes, 42, Vila Pinho",São Paulo,SP,Brasil,69673050,-23.537723859462556,-46.68690369170014,Cardiologia,"[""Prata"",""Ouro"",""Diamante""]",Vila Pinho
Dr(a). Emanuelly da Conceição,"Passarela Gonçalves, 57, Vila Engenho Nogueira",São Paulo,SP,Brasil,93791-914,-23.53285621291712,-46.71070060225414,Cardiologia,"[""Diamante""]",Vila Engenho Nogueira
Dr(a). Allana Ferreira,"Praça de Viana, 17, Colégio Batista",São Paulo,SP,Brasil,24302-683,-23.5801086953973,-46.75265867929838,Ortopedia,"[""Ouro"",""Diamante""]",Colégio Batista
Dr(a). Maria Luísa Brito,"Alameda de Sousa, 12, Bonfim",São Paulo,SP,Brasil,02676-164,-23.541468426066455,-46.605463299545356,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Bonfim
Dr(a). Luiz Henrique Camargo,"Trecho Moreira, 278, Nazare",São Paulo,SP,Brasil,43269253,-23.551227980400153,-46.67023374622945,Cardiologia,"[""Ouro"",""Diamante""]",Nazare
Dr(a). Sr. Anthony Aparecida,"Largo Albuquerque, 2, Vila Bandeirantes",São Paulo,SP,Brasil,56603152,-23.578893068456615,-46.79510167332503,Dermatologia,"[""Ouro"",""Diamante""]",Vila Bandeirantes
Dr(a). Ana Júlia Ferreira,"Feira de Gonçalves, 58, Vila Petropolis",São Paulo,SP,Brasil,81817-857,-23.500365642462427,-46.78917853557023,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Petropolis
Dr(a). Alícia Gonçalves,"Pátio Enzo Pastor, 68, Lourdes",São Paulo,SP,Brasil,28273726,-23.5873635775465,-46.68382263901163,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Lourdes
Dr(a). Clara Moura,"Campo Brito, 83, Sagrada Família",São Paulo,SP,Brasil,80723-712,-23.531348375586173,-46.741165752474984,Cardiologia,"[""Ouro"",""Diamante""]",Sagrada Família
Dr(a). Vinícius Ramos,"Fazenda de Vasconcelos, 6, Alto Barroca",São Paulo,SP,Brasil,91367-448,-23.507657812692422,-46.73205956770117,Pediatria,"[""Prata"",""Ouro"",""Diamante""]",Alto Barroca
Dr(a). Caroline Silva,"Praça Vicente da Mota, 545, Acaba Mundo",São Paulo,SP,Brasil,17663251,-23.562501943467378,-46.754863902421604,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Acaba Mundo
Dr(a). Letícia Rocha,"Vale Lorena Siqueira, 40, Barro Preto",São Paulo,SP,Brasil,43512386,-23.558369830698286,-46.64030306941024,Ortopedia,"[""Ouro"",""Diamante""]",Barro Preto
Dr(a). Davi Fogaça,"Loteamento de da Conceição, 70, São Jorge 1ª Seção",São Paulo,SP,Brasil,40196916,-23.589895841551918,-46.709822411631386,Clínico Geral,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",São Jorge 1ª Seção
Dr(a). Rhavi Souza,"Sítio de Guerra, 20, Sion",São Paulo,SP,Brasil,91131699,-23.529808321117013,-46.71448780955237,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Sion
Dr(a). Luiza Souza,"Conjunto de Sampaio, 95, São Marcos",São Paulo,SP,Brasil,65960784,-23.584584547914062,-46.684322396224495,Dermatologia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",São Marcos
Dr(a). Otávio Freitas,"Alameda Luiz Felipe Melo, 101, Granja De Freitas",São Paulo,SP,Brasil,70404-432,-23.542834571200036,-46.7546962012774,Dermatologia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Granja De Freitas
Dr(a). Luna Monteiro,"Lago Novaes, 66, Santa Inês",São Paulo,SP,Brasil,38133-761,-23.504693140681066,-46.66502443530334,Clínico Geral,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Santa Inês
Dr(a). Alexia Leão,"Estrada da Conceição, 99, Conjunto Lagoa",São Paulo,SP,Brasil,82212688,-23.579184289692606,-46.66183676771572,Clínico Geral,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Conjunto Lagoa
Dr(a). Juan Castro,"Estação de Cardoso, 54, Camargos",São Paulo,SP,Brasil,77331429,-23.582570899446093,-46.72944234068061,Pediatria,"[""Diamante""]",Camargos
Dr(a). Dante Guerra,"Ladeira Ramos, 38, São Marcos",São Paulo,SP,Brasil,64488489,-23.554597613588314,-46.78291663888447,Clínico Geral,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",São Marcos
Dr(a). Dr. João Pedro Pacheco,"Pátio de da Mota, 7, Vila Vista Alegre",São Paulo,SP,Brasil,64856-191,-23.573254903579954,-46.70313939524965,Pediatria,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Vila Vista Alegre
Dr(a). Agatha Ramos,"Fazenda Ágatha Silva, 43, Floresta",São Paulo,SP,Brasil,12551-646,-23.505432345674024,-46.71170823801214,Dermatologia,"[""Ouro"",""Diamante""]",Floresta
Dr(a). Mateus Viana,"Condomínio Pires, 92, Conjunto Taquaril",São Paulo,SP,Brasil,48490848,-23.56532642505755,-46.655630178323285,Dermatologia,"[""Diamante""]",Conjunto Taquaril
Dr(a). Dom Câmara,"Parque Rios, 14, Acaiaca",São Paulo,SP,Brasil,73603494,-23.560369119969376,-46.66553951813594,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Acaiaca
Dr(a). José Miguel da Costa,"Parque Montenegro, 64, Mangabeiras",São Paulo,SP,Brasil,97294150,-23.574513442467186,-46.708291830633755,Pediatria,"[""Ouro"",""Diamante""]",Mangabeiras
Dr(a). Pedro Aragão,"Jardim de Mendes, 9, Vila De Sá",São Paulo,SP,Brasil,26550125,-23.576734730528763,-46.60549878994494,Dermatologia,"[""Diamante""]",Vila De Sá
Dr(a). Maria Laura Pacheco,"Ladeira Caldeira, 44, Santa Amelia",São Paulo,SP,Brasil,60519-959,-23.58832119002956,-46.76182662205574,Ortopedia,"[""Básico"",""Bronze"",""Prata"",""Ouro"",""Diamante""]",Santa Amelia
Dr(a). Laura Rodrigues,"Recanto de Macedo, 97, Ademar Maldonado",São Paulo,SP,Brasil,27198-727,-23.568618660587642,-46.63352490119132,Cardiologia,"[""Ouro"",""Diamante""]",Ademar Maldonado
Dr(a). Sr. Brayan Casa Grande,"Quadra de Nunes, 569, Palmeiras",São Paulo,SP,Brasil,78473-650,-23.576159828818827,-46.66950688934847,Dermatologia,"[""Prata"",""Ouro"",""Diamante""]",Palmeiras
Dr(a). Dra. Milena Moraes,"Loteamento Vitor Moreira, 97, Lorena",São Paulo,SP,Brasil,62945-313,-23.574175814167067,-46.66558495379111,Dermatologia,"[""Ouro"",""Diamante""]",Lorena
Dr(a). Nicole Barbosa,"Ladeira de Rezende, 66, Vila Petropolis",São Paulo,SP,Brasil,96075457,-23.58553053380628,-46.62571996906385,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Vila Petropolis
Dr(a). Sophia Montenegro,"Rodovia Felipe Vieira, 7, Minas Caixa",São Paulo,SP,Brasil,00546936,-23.506170452784055,-46.68766834370731,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Minas Caixa
Dr(a). Dra. Rebeca Silva,"Viela Mendes, 192, Universo",São Paulo,SP,Brasil,91914906,-23.59304923060152,-46.63028027255737,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Universo
Dr(a). Daniel Pacheco,"Praia Ana Lívia Nascimento, 3, Ribeiro De Abreu",São Paulo,SP,Brasil,56256-991,-23.54775422208047,-46.633049963823495,Clínico Geral,"[""Ouro"",""Diamante""]",Ribeiro De Abreu
Dr(a). Lucas Gabriel Araújo,"Feira de Peixoto, 3, Serra Do Curral",São Paulo,SP,Brasil,54519-273,-23.51369298708906,-46.670124511509734,Ortopedia,"[""Prata"",""Ouro"",""Diamante""]",Serra Do Curral
Dr(a). Srta. Beatriz Ferreira,"Esplanada Rezende, 2, São Jorge 1ª Seção",São Paulo,SP,Brasil,17209250,-23.546393723200488,-46.63791575616518,Ortopedia,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",São Jorge 1ª Seção
Dr(a). Maria Alice Barros,"Vereda Maya Fogaça, 98, Glória",São Paulo,SP,Brasil,32185-791,-23.532491535629315,-46.757395523154415,Pediatria,"[""Bronze"",""Prata"",""Ouro"",""Diamante""]",Glória
Dr(a). Gabriel Cirino,"Vila de Gomes, 73, Vila Cemig",São Paulo,SP,Brasil,00511-676,-23.565904834168357,-46.69805204537446,Clínico Geral,"[""Prata"",""Ouro"",""Diamante""]",Vila Cemig
Dr(a). Marina Andrade,"Praia João Vitor Vasconcelos, 25, Grotinha",São Paulo,SP,Brasil,49990-343,-23.50179500703138,-46.64205449727004,Clínico Geral,"[""Diamante""]",Grotinha
Dr(a). Lucas Gabriel Fogaça,"Praia Teixeira, 43, Vila Copacabana",São Paulo,SP,Brasil,87080012,-23.57869909359318,-46.66114200284523,Clínico Geral,"[""Ouro"",""Diamante""]",Vila Copacabana
Dr(a). Vinicius Peixoto,"Travessa Benicio Barros, 82, Itapoa",São Paulo,SP,Brasil,77816-287,-23.522404753962807,-46.60442375587657,Cardiologia,"[""Prata"",""Ouro"",""Diamante""]",Itapoa
