nome,cpf,endereco,plano
Mariah Aparecida,48732659083,"Conjunto de da Paz, 51, Castelo, São Paulo, SP, Brasil",Ouro
Clara das Neves,19534028606,"Vereda de Costela, 977, Guaratã, São Paulo, SP, Brasil",Ouro
Yan Albuquerque,16043298589,"Campo de Correia, 333, Vista Do Sol, São Paulo, SP, Brasil",Diamante
Melissa Borges,15702483626,"Loteamento de Nogueira, 99, Túnel De Ibirité, São Paulo, SP, Brasil",Bronze
Pedro Miguel Borges,96541270830,"Vale Ribeiro, 27, Brasil Industrial, São Paulo, SP, Brasil",Prata
Caroline Cassiano,01675423970,"Viela Pastor, 59, Paulo Vi, São Paulo, SP, Brasil",Diamante
Maria Alice Barros,51749280620,"Ladeira de Camargo, 35, Lorena, São Paulo, SP, Brasil",Bronze
Ana Liz Brito,23064578910,"Estrada de Pereira, 216, Mariquinhas, São Paulo, SP, Brasil",Ouro
Arthur Miguel Pereira,03259817603,"Alameda de Nogueira, 29, Floresta, São Paulo, SP, Brasil",Diamante
Bernardo Câmara,14539068270,"Passarela de Costa, 85, Aparecida, São Paulo, SP, Brasil",Básico
Eloá Sampaio,30261748580,"Estação de Albuquerque, 96, Silveira, São Paulo, SP, Brasil",Ouro
Luiz Henrique Gomes,42035786983,"Ladeira de Carvalho, 67, Vera Cruz, São Paulo, SP, Brasil",Prata
Luiz Henrique Pastor,92435607865,"Loteamento de Castro, 83, Minas Caixa, São Paulo, SP, Brasil",Bronze
Dra. Maria Vitória Andrade,69013725406,"Rua Mariah Novais, 800, Leonina, São Paulo, SP, Brasil",Ouro
Ravi Lucca Aragão,63195704234,"Aeroporto Paulo Albuquerque, 9, Vila Aeroporto, São Paulo, SP, Brasil",Bronze
Gabriel Campos,93425107607,"Chácara de Almeida, 27, Santa Efigênia, São Paulo, SP, Brasil",Básico
Davi Luiz Rezende,85167203490,"Viela da Luz, 155, Gutierrez, São Paulo, SP, Brasil",Diamante
Dra. Sabrina Silva,76584193209,"Conjunto Cassiano, 65, Vila Suzana Segunda Seção, São Paulo, SP, Brasil",Diamante
Sr. Lucca Vasconcelos,90821564315,"Conjunto de da Rocha, 8, Vila Ouro Minas, São Paulo, SP, Brasil",Ouro
Benicio das Neves,28193647050,"Sítio Mendes, 65, Casa Branca, São Paulo, SP, Brasil",Prata
Bruna Sampaio,76028145335,"Chácara de Azevedo, 4, Vila Puc, São Paulo, SP, Brasil",Ouro
Bento Gomes,01647238978,"Chácara Emilly Câmara, 39, Novo Tupi, São Paulo, SP, Brasil",Bronze
Luiz Henrique Camargo,10765984202,"Favela Bryan Cunha, 421, Pilar, São Paulo, SP, Brasil",Prata
Maria Cecília Nogueira,21784359637,"Largo de Monteiro, 93, Vera Cruz, São Paulo, SP, Brasil",Bronze
Anthony Fernandes,59041283633,"Recanto de Azevedo, 9, Vila Jardim Montanhes, São Paulo, SP, Brasil",Diamante
Benício Câmara,20483916560,"Rodovia Giovanna Moura, 209, Vila Inestan, São Paulo, SP, Brasil",Básico
Ana Vitória Souza,63479851010,"Viaduto Abreu, 94, Solimoes, São Paulo, SP, Brasil",Prata
Lucas Gabriel Azevedo,74863590229,"Conjunto de da Costa, 15, Aparecida 7ª Seção, São Paulo, SP, Brasil",Bronze
Maria Vitória Casa Grande,71269305859,"Quadra Calebe Brito, 12, Andiroba, São Paulo, SP, Brasil",Diamante
Caroline Pires,51983704601,"Vereda de Fernandes, 5, Vila Suzana Primeira Seção, São Paulo, SP, Brasil",Prata
Mathias da Rocha,18307526930,"Vereda Dom Aparecida, 8, Grota, São Paulo, SP, Brasil",Prata
Vicente Rios,93805472188,"Distrito Lima, 261, Nova Esperança, São Paulo, SP, Brasil",Básico
Carlos Eduardo Leão,20735681902,"Jardim de Barros, 21, Maria Virgínia, São Paulo, SP, Brasil",Ouro
